mp = mostrar página, IDAsociado, pagina, queryGroup
op = ocultar página, IDAsociado, pagina, queryGroup
ff = flora y fauna, ___, query, queryGroup
su = superficie,  ____ ,query, queryGroup
mm = maniobras de mitigación,  ____ ,query, queryGroup
re = responsabilidades,  ____ ,query, queryGroup
mr = ordenar por mayor ranking,  ____ ,order, queryGroup
mer = ordenar por menor ranking,  ____ ,order, queryGroup
mar = ordenar por mas reciente,  ____ ,order, queryGroup
ma = ordenar por mas antiguo,  ____ ,order, queryGroup
mfl = ordenar por mas facil de leer,  ____ ,order, queryGroup
mdl = ordenar por mas dificil de leer,  ____ ,order, queryGroup
mare = ordenar por mayor reputación,  ____ ,order, queryGroup
mere = ordenar por menor reputación,  ____ ,order, queryGroup
af = agregar a fauna, ID, add, queryGroup
as = agregar a superficie, ID, add, queryGroup
am = agregar a maniobras, ID, add , queryGroup
ar = agregar a responsabilidades, ID, add, queryGroup
pag = pagina visitada, ID, view, queryGroup
cp = cambiar de paginas en tradicional, numPAG, SERP, queryGroup
